Step|d_loss|g_loss|fea_loss|age_loss
0|1.664|0.959|148506.594|2.549
1|2.960|0.560|146413.500|5.728
2|1.216|0.821|139177.781|2.414
3|1.394|0.468|139087.250|1.011
4|0.728|0.356|133538.625|4.084
5|0.664|0.314|145852.016|1.734
6|0.491|0.242|140281.359|1.756
7|0.430|0.254|141916.656|5.531
8|0.386|0.209|142339.312|2.348
9|0.357|0.213|146650.344|1.412
10|0.332|0.203|146613.281|1.212
11|0.322|0.248|133916.000|0.927
12|0.329|0.206|135900.625|2.439
13|0.330|0.273|147826.938|1.736
14|0.333|0.204|143600.828|4.685
15|0.343|0.337|148304.016|3.211
16|0.368|0.212|143207.281|4.828
17|0.383|0.382|150783.250|3.059
18|0.383|0.202|150461.047|2.797
19|0.331|0.225|155331.188|3.900
20|0.351|0.311|147510.719|2.868
21|0.367|0.226|147106.625|1.433
22|0.379|0.333|141515.844|6.058
23|0.401|0.267|150954.969|0.735
24|0.395|0.472|142572.719|0.544
25|0.452|0.236|149924.297|3.312
26|0.455|0.525|140186.062|3.767
27|0.394|0.320|156315.500|3.778
28|0.443|0.306|149114.688|2.559
29|0.747|0.329|147418.453|1.773
30|0.788|0.540|154917.797|4.549
31|0.460|0.288|148263.594|3.387
32|0.726|1.581|152483.000|3.014
33|2.012|0.632|152418.844|0.738
34|1.935|1.084|156517.281|3.009
35|2.003|3.610|153094.672|2.552
36|6.263|0.641|152113.156|2.855
37|1.140|0.870|151070.141|2.853
38|2.148|1.243|154770.031|0.526
39|1.952|0.339|145884.688|2.072
40|0.621|0.262|141936.125|2.764
41|0.524|0.284|149426.156|2.443
42|0.363|0.272|155268.391|1.803
43|0.313|0.227|144236.438|3.024
44|0.295|0.211|150620.344|1.745
45|0.283|0.274|141476.719|3.283
46|0.266|0.266|161353.969|2.810
47|0.264|0.218|153860.328|0.977
48|0.263|0.258|162817.031|0.678
49|0.254|0.257|162671.531|2.536
50|0.262|0.214|158900.125|3.026
51|0.254|0.288|157438.844|1.553
52|0.244|0.278|162556.406|4.276
53|0.235|0.246|155361.234|3.267
54|0.235|0.316|159685.875|0.943
55|0.220|0.312|156644.047|0.589
56|0.214|0.305|159716.281|2.492
57|0.214|0.315|159922.031|2.833
58|0.219|0.315|155550.688|2.076
59|0.218|0.304|162684.844|2.008
60|0.213|0.345|154088.672|1.241
61|0.218|0.394|156050.281|2.865
62|0.214|0.325|167520.047|1.552
63|0.214|0.365|154929.594|2.627
64|0.208|0.366|159198.750|0.944
65|0.208|0.354|164599.906|2.064
66|0.214|0.370|153772.688|2.558
67|0.216|0.348|153025.984|3.107
68|0.209|0.356|157973.438|2.553
69|0.195|0.376|138333.781|2.575
70|0.189|0.409|152778.484|1.278
71|0.194|0.350|148610.422|1.675
72|0.214|0.356|159812.672|2.651
73|0.226|0.328|146452.094|0.733
74|0.253|0.483|158361.062|0.722
75|0.338|0.278|191506.500|2.156
76|0.473|0.726|205777.172|5.426
77|0.756|0.376|188058.297|2.528
78|0.660|0.360|189847.266|5.580
79|0.406|0.173|181578.266|1.986
80|0.289|0.231|194036.875|4.854
81|0.260|0.284|182948.750|3.414
82|0.256|0.249|178551.031|2.640
83|0.248|0.326|191445.406|2.818
84|0.247|0.263|184080.062|2.574
85|0.234|0.355|195801.844|2.769
86|0.231|0.334|184629.234|1.937
87|0.223|0.341|174620.266|1.362
88|0.219|0.356|171212.969|2.305
89|0.216|0.362|165870.266|4.462
90|0.219|0.341|165924.984|3.939
91|0.213|0.388|196320.688|2.627
92|0.210|0.412|190594.219|1.575
93|0.213|0.345|192796.703|4.463
94|0.212|0.411|176768.781|5.073
95|0.203|0.375|168860.375|1.785
96|0.206|0.587|181012.219|3.581
97|0.254|0.369|174965.969|1.922
98|0.260|0.518|164785.969|3.218
99|0.224|0.410|184546.688|2.982
100|0.206|0.481|190065.859|4.937
